"","Date","High_etc","Low_etc","High_btc","Low_btc","High_xrp","Low_xrp","High_doge","Low_doge","High_eth","Low_eth"
"1","05/21/2021",64.7593,58.7872,38056.8,36606.7,1.01342,0.93707,0.359675,0.331663,2481.06,2311.87
"2","05/20/2021",78.106,72.8,42108.3,40521.5,1.21581,1.14958,0.411212,0.395935,2931.66,2766.02
"3","05/19/2021",62.7196,54.5274,38573.3,35010.4,1.11249,0.91194,0.348367,0.297074,2539.36,2163.4
"4","05/18/2021",90.2152,79.7141,43516.6,40164.2,1.64286,1.45973,0.477866,0.419176,3434.01,3065.84
"5","05/17/2021",95.5691,88.7001,45231.4,43186.8,1.5319,1.47421,0.493833,0.481705,3415,3244.93
"6","05/16/2021",94.3161,82.8512,46545.4,43072.5,1.4484,1.34009,0.514218,0.464871,3582.19,3235.2
"7","05/15/2021",101.289,94.5917,48323.8,46574.6,1.59602,1.48591,0.547205,0.505621,3851.62,3626.53
"8","05/14/2021",114.632,103.254,50640.9,49303.7,1.42712,1.37838,0.563262,0.525786,4129.99,4013.04
"9","05/13/2021",90.9105,86.6501,50387.3,49258,1.37334,1.33137,0.498085,0.464572,3893.57,3694.54
"10","05/12/2021",94.8217,76.9054,50843,46331.1,1.35212,1.20537,0.452448,0.353838,4031.99,3539.96
"11","05/11/2021",112.121,108.83,57753,56597.1,1.53448,1.47261,0.50371,0.480366,4327.76,4151.39
"12","05/10/2021",108.492,102.264,56384.2,54550.4,1.44365,1.3587,0.473664,0.44294,4025.11,3781.86
"13","05/09/2021",126.535,115.615,59426.6,58066,1.59584,1.52398,0.568688,0.515168,4067.75,3888.6
"14","05/08/2021",129.64,120.931,59227,58391.4,1.59317,1.5533,0.697487,0.625592,3947.83,3819.55
"15","05/07/2021",124.656,118.169,58412.9,56972.2,1.61806,1.56182,0.710233,0.667511,3549.69,3453.37
"16","05/06/2021",148.652,118.674,57080.7,55533.7,1.62134,1.52011,0.597059,0.519357,3530.84,3401.11
"17","05/05/2021",98.9871,87.4623,57560.8,56623.5,1.76001,1.61386,0.663006,0.622845,3537.12,3442.35
"18","05/04/2021",79.1997,71.0335,55088.1,53872.5,1.46216,1.39752,0.563625,0.559485,3331.54,3295.34
"19","05/03/2021",54.881,49.2236,57201.3,54735.3,1.55703,1.41283,0.447674,0.398416,3446.51,3188.9
"20","05/02/2021",45.4875,44.2694,58261.4,56562.4,1.59807,1.55303,0.385427,0.372467,3057.99,2950.07
"21","05/01/2021",46.6133,42.5666,57868.4,56556.1,1.65348,1.57257,0.399246,0.378471,2954.53,2910.74
"22","04/30/2021",38.9946,36.246,58449.4,57528.9,1.62527,1.55588,0.342816,0.327317,2846.81,2753.6
"23","04/29/2021",34.5629,33.7592,53802.7,53088.7,1.40511,1.37604,0.314736,0.300761,2768.03,2727.5
"24","04/28/2021",35.3485,33.8654,55173.7,54164.4,1.40815,1.32815,0.323797,0.310532,2753.4,2686.07
"25","04/27/2021",36.3571,33.8116,55718.8,54871.9,1.44663,1.38233,0.272041,0.264951,2714.94,2629.85
"26","04/26/2021",33.8413,31.9413,54120.6,53431.1,1.45828,1.34764,0.270397,0.264018,2546.63,2484.44
"27","04/25/2021",31.5969,28.9495,52420.9,48815.9,1.14699,1.01794,0.272742,0.24739,2467.72,2305.97
"28","04/24/2021",30.1485,29.3306,50438.8,49658.6,1.07183,1.03182,0.288841,0.266108,2249.28,2190.59
"29","04/23/2021",32.8253,30.4483,51183,49380.6,1.17095,1.09342,0.253743,0.229214,2367.46,2229.62
"30","04/22/2021",34.5012,25.1224,52099.9,48788.3,1.19593,0.89374,0.269065,0.166312,2440.21,2141.95
"31","04/21/2021",33.837,31.578,54606.2,52585.9,1.34175,1.27003,0.308197,0.272251,2448.59,2319.93
"32","04/20/2021",35.5026,33.3858,56764.4,55447.9,1.46239,1.36477,0.333825,0.301313,2360.69,2281.78
"33","04/19/2021",33.6577,30.0577,55776.8,54404.6,1.32224,1.18308,0.412781,0.348792,2173.73,2067.73
"34","04/18/2021",38.329,35.7775,57275.2,55767,1.47647,1.36135,0.340423,0.309128,2275.87,2200.84
"35","04/17/2021",39.1133,31.2875,60362.1,51817.6,1.56266,1.16193,0.307496,0.239707,2338.53,1948.93
"36","04/16/2021",48.6281,38.3103,62509.1,61155.6,1.64544,1.53728,0.378924,0.305581,2489.45,2423.04
"37","04/15/2021",33.3128,28.5805,63518.5,62738.3,1.80402,1.71021,0.295464,0.180132,2544.54,2478.92
"38","04/14/2021",22.3549,21.459,63347.3,62361.7,1.88408,1.71221,0.134198,0.120291,2475.98,2402.75
"39","04/13/2021",22.4674,21.2037,63818.7,63080.7,1.84071,1.74907,0.117864,0.092535,2349.99,2281.49
"40","04/12/2021",19.8248,19.4223,61068.3,59839.4,1.47542,1.42122,0.077093,0.070709,2175.04,2136.49
"41","04/11/2021",20.4202,19.8387,60311.3,59598.2,1.36864,1.3197,0.075337,0.072016,2162.22,2131.14
"42","04/10/2021",21.4367,20.0879,60667.1,59640.8,1.48162,1.34919,0.068483,0.063402,2157.01,2123.76
"43","04/09/2021",19.0455,18.3207,59149.9,57900,1.06729,1.00711,0.062109,0.060969,2145.32,2058.23
"44","04/08/2021",20.0969,19.3215,58391.3,57832.9,1.05998,1.01013,0.062287,0.06117,2097.6,2070.14
"45","04/07/2021",19.8366,18.097,56674.6,55721.6,0.94407,0.90415,0.060732,0.058705,1994.32,1951.83
"46","04/06/2021",19.6732,17.7033,58192.7,57286.9,1.10128,1.03184,0.067151,0.06258,2128.25,2082.07
"47","04/05/2021",16.9968,15.973,59487,58662,0.93929,0.81318,0.060615,0.058954,2150.78,2108.81
"48","04/04/2021",15.1621,14.442,58355,57497.6,0.70123,0.61963,0.057987,0.056583,2083.73,2031.45
"49","04/03/2021",13.8844,13.3588,57448.9,56470.6,0.59597,0.56884,0.056758,0.055121,2023.85,1982
"50","04/02/2021",15.3411,15.044,59414,58948.5,0.63635,0.60656,0.05943,0.057459,2137.68,2084.03
"51","04/01/2021",14.6795,14.1048,60134.9,58496.3,0.58113,0.56818,0.062794,0.05868,2010.3,1949.99
"52","03/31/2021",14.4873,14.0632,59309.8,58738.9,0.59179,0.56473,0.054239,0.053723,1944.08,1914.09
"53","03/30/2021",13.5301,12.911,59030.2,58429.8,0.57137,0.53095,0.054484,0.053543,1861.85,1817.09
"54","03/29/2021",12.6843,12.3487,57752.7,57128.3,0.56917,0.55924,0.054407,0.053738,1827.16,1788.6
"55","03/28/2021",11.9766,11.7319,55899.4,55002.9,0.56448,0.54371,0.053781,0.05323,1700.97,1678.38
"56","03/27/2021",11.9703,11.7204,56174.8,55645.5,0.55416,0.54377,0.054566,0.053992,1716.12,1701.26
"57","03/26/2021",11.856,11.6425,55532.1,54551.8,0.57414,0.55556,0.054782,0.053484,1717.19,1687.49
"58","03/25/2021",11.3606,11.0762,52669.2,51306.1,0.53551,0.51046,0.052329,0.051241,1628.28,1586.36
"59","03/24/2021",11.4618,10.8069,52763,51561.3,0.49169,0.46029,0.052068,0.050231,1597.09,1550.11
"60","03/23/2021",12.4853,12.0866,54716.8,53579.1,0.55184,0.53643,0.054017,0.052773,1685.04,1652.07
"61","03/22/2021",12.3997,11.6136,55287.5,53842.1,0.59555,0.54244,0.056043,0.054495,1712.43,1668.86
"62","03/21/2021",12.0059,11.6467,57443.4,56357.5,0.5185,0.5024,0.057493,0.056899,1786,1754.21
"63","03/20/2021",12.4588,12.1314,58583.8,57471.4,0.54625,0.50654,0.059509,0.058045,1815.85,1776.42
"64","03/19/2021",12.4887,12.2192,58877.5,57863,0.47892,0.46472,0.058845,0.058042,1835.31,1801.6
"65","03/18/2021",12.2741,11.9214,57876.5,56305.1,0.47114,0.45977,0.057601,0.056462,1848.88,1735.42
"66","03/17/2021",12.6642,12.4319,59489.4,58621.9,0.47847,0.46582,0.05915,0.057758,1849.23,1812.94
"67","03/16/2021",12.4493,12.2195,57121,55683.4,0.48159,0.45749,0.058881,0.058054,1811.93,1763.65
"68","03/15/2021",12.3382,11.5511,56024.1,53342.6,0.4632,0.42752,0.057432,0.055365,1803.06,1715.97
"69","03/14/2021",13.0964,12.66,60459.9,58859,0.44538,0.43551,0.05922,0.058249,1890.59,1843.41
"70","03/13/2021",14.1147,13.493,61673.7,60755.8,0.4615,0.45202,0.06351,0.059116,1932.36,1890.05
"71","03/12/2021",11.9442,11.5543,57271.8,56118.8,0.4415,0.43274,0.055763,0.054694,1767.3,1730.46
"72","03/11/2021",12.5377,12.0456,58052.3,56545.9,0.46385,0.44568,0.056965,0.055287,1841.19,1797.03
"73","03/10/2021",12.5951,11.8177,56461,55168.1,0.4641,0.45066,0.056119,0.054895,1816.29,1764.46
"74","03/09/2021",12.7436,11.6377,55772.3,53187.5,0.48804,0.456,0.058642,0.054554,1875.98,1759.5
"75","03/08/2021",12.6572,11.5199,54077.9,51941.3,0.48656,0.47178,0.062851,0.058396,1858.77,1809.09
"76","03/07/2021",11.9778,11.4384,51801.1,50141.4,0.47267,0.46221,0.055683,0.051622,1751.92,1710.67
"77","03/06/2021",11.6434,11.1076,49881.4,48890.6,0.46646,0.45921,0.051817,0.050708,1685.08,1639.66
"78","03/05/2021",11.0555,10.8071,49132.7,48166.4,0.47019,0.45404,0.052437,0.049522,1548.06,1521.6
"79","03/04/2021",11.0047,10.3403,48363.6,46370.1,0.48268,0.44664,0.049984,0.048026,1540.66,1447.45
"80","03/03/2021",11.7096,11.0612,51757.7,49111.5,0.45875,0.43684,0.051118,0.049732,1623.73,1535.9
"81","03/02/2021",11.2925,10.8129,49309.1,48159.2,0.44302,0.4314,0.050677,0.050011,1547,1477.72
"82","03/01/2021",11.2983,10.7621,50191.9,48662.2,0.45414,0.43783,0.052423,0.050556,1602.13,1515.22
"83","02/28/2021",10.5791,10.3132,46809.5,45008.8,0.42676,0.41226,0.049348,0.048062,1455.37,1411.55
"84","02/27/2021",11.1269,10.315,46582,44346.9,0.43789,0.41651,0.050176,0.046661,1467.76,1367.31
"85","02/26/2021",11.3359,10.7095,48018.5,46205.2,0.44399,0.42778,0.051993,0.050342,1515.83,1439.84
"86","02/25/2021",11.1609,10.412,47749.1,46051.2,0.44292,0.413,0.051728,0.048969,1526.62,1449.19
"87","02/24/2021",12.1815,11.4528,50857.8,49597.9,0.48146,0.46221,0.05803,0.054958,1655.45,1588.7
"88","02/23/2021",12.4815,10.8611,51299.1,47031.7,0.49854,0.45857,0.050968,0.046065,1652.01,1505.79
"89","02/22/2021",13.9998,12.3602,54115,50161.2,0.5706,0.52581,0.053774,0.050064,1781.44,1609.62
"90","02/21/2021",15.7131,14.8109,57480.5,55128.5,0.54651,0.51627,0.058717,0.054799,1935.04,1837.22
"91","02/20/2021",15.4372,14.8167,56895.2,55502.7,0.53201,0.50521,0.056693,0.05335,1954.82,1885.7
"92","02/19/2021",16.7922,15.0587,56552.6,55415.1,0.57385,0.55568,0.055285,0.053021,2040.79,1924.17
"93","02/18/2021",15.1546,14.2623,51925.3,50816.8,0.53792,0.51489,0.059628,0.055262,1951.26,1892.7
"94","02/17/2021",15.7795,15.1779,52524,51731.3,0.54966,0.53435,0.053658,0.04897,1916.3,1849.05
"95","02/16/2021",14.8951,13.8857,50209.6,49018.1,0.52945,0.49784,0.055054,0.051076,1785.72,1734.15
"96","02/15/2021",15.5108,14.203,49951,47044.4,0.57897,0.53533,0.05981,0.05457,1827.07,1746.05
"97","02/14/2021",16.5908,13.0234,48936.5,45786.1,0.60394,0.51117,0.063627,0.047653,1811.64,1661.09
"98","02/13/2021",17.1789,15.7566,47698.3,47051.9,0.63792,0.6018,0.066392,0.063759,1843.13,1803.1
"99","02/12/2021",12.3922,11.9223,48097.3,47271,0.64209,0.60604,0.071703,0.069473,1871.36,1840.72
"100","02/11/2021",12.3035,11.3393,48927.4,46950.9,0.56858,0.51961,0.069858,0.061285,1806.86,1741.04
"101","02/10/2021",11.1874,10.3224,44993.5,44041,0.52733,0.5015,0.073289,0.071105,1746.32,1704.97
"102","02/09/2021",11.4584,9.5774,46865.5,45652.1,0.49729,0.47119,0.072149,0.069013,1824,1760.05
"103","02/08/2021",9.3379,8.6372,47405.3,45603.3,0.48937,0.44989,0.083567,0.077726,1765.88,1711.4
"104","02/07/2021",8.3945,8.1177,39123.6,38057,0.42836,0.4128,0.077936,0.063839,1629.25,1566.43
"105","02/06/2021",8.8688,8.0338,39611.9,37987.2,0.45029,0.42195,0.064907,0.053464,1692.29,1588.25
"106","02/05/2021",8.6287,8.2132,39653.1,38275.3,0.45593,0.42685,0.049408,0.044505,1742.9,1651.54
"107","02/04/2021",7.8483,7.6622,37488.4,36640,0.47078,0.42851,0.054033,0.043289,1651.61,1589.28
"108","02/03/2021",8.093,7.754,38298.5,37375.9,0.39847,0.38186,0.039994,0.035919,1693.64,1635.72
"109","02/02/2021",7.8858,7.7122,36843.5,35401.5,0.39706,0.3723,0.03389,0.031245,1560.3,1510.27
"110","02/01/2021",7.6206,7.4565,34150.4,33462.4,0.39409,0.34132,0.035089,0.029054,1410.06,1361.63
"111","01/31/2021",7.5226,7.2515,33937.7,32324.9,0.59712,0.46155,0.041473,0.034244,1329.6,1272.09
"112","01/30/2021",7.7097,7.4995,34348.3,33687.3,0.44424,0.39005,0.031207,0.026909,1380.04,1352.46
"113","01/29/2021",7.688,7.3906,34920.9,32908.5,0.30569,0.27879,0.0875,0.014942,1405.78,1327.66
"114","01/28/2021",7.8864,7.3922,34325.8,32839.8,0.27211,0.26038,0.01383,0.007351,1373.56,1288.26
"115","01/27/2021",7.1197,6.7653,31602,29911.9,0.25675,0.24728,0.010838,0.00731,1291.83,1221.15
"116","01/26/2021",7.4388,7.2102,32545.4,31556.2,0.26861,0.2634,0.008245,0.008045,1372.31,1299.62
"117","01/25/2021",7.6062,7.3053,32820.1,31493.3,0.27082,0.26317,0.008455,0.008161,1377.94,1299.52
"118","01/24/2021",7.9739,7.6279,33739.5,32205.1,0.28094,0.27318,0.008819,0.008656,1474.68,1386.17
"119","01/23/2021",7.8133,7.3799,32702.9,31692.5,0.27608,0.26906,0.008678,0.008504,1315.63,1222.14
"120","01/22/2021",7.5064,7.3118,32994.1,32088.2,0.28303,0.2703,0.008636,0.008359,1250.31,1207.41
"121","01/21/2021",7.154,6.6707,31380,28871.2,0.27164,0.24165,0.008408,0.007571,1185.94,1045.02
"122","01/20/2021",8.1897,7.713,35591.1,34256.8,0.3072,0.28858,0.009099,0.008803,1387.39,1294.54
"123","01/19/2021",8.0441,7.6819,36384.4,34857,0.29895,0.28316,0.009141,0.008841,1406.56,1321.61
"124","01/18/2021",8.0627,7.6617,37270.5,36360.3,0.29436,0.28409,0.009284,0.009067,1344.01,1252.36
"125","01/17/2021",7.7889,7.4261,36195.2,34890.7,0.27873,0.27171,0.009163,0.008949,1246.47,1184.15
"126","01/16/2021",7.9555,7.644,36723.7,35592.7,0.28538,0.27591,0.009365,0.009089,1257.81,1202.47
"127","01/15/2021",7.7208,7.4573,37608.6,36022.9,0.28624,0.27815,0.009493,0.009112,1197.51,1158.33
"128","01/14/2021",8.0384,7.6497,39715,38354.6,0.30301,0.29315,0.009689,0.009232,1256.13,1203.63
"129","01/13/2021",7.6686,7.3611,38133.2,36772.1,0.30864,0.28358,0.008804,0.008369,1144.05,1088.52
"130","01/12/2021",7.3619,6.8578,34297,32451.9,0.29673,0.28544,0.008068,0.007779,1058.07,990.96
"131","01/11/2021",7.3294,6.8314,35490,33729.6,0.30883,0.28002,0.008866,0.0082,1101.03,1042.16
"132","01/10/2021",8.86,6.9723,38217.2,33688.8,0.31567,0.25579,0.009846,0.008562,1257.3,1026.35
"133","01/09/2021",8.9094,7.7808,41362.4,40149.7,0.33909,0.32433,0.010443,0.010159,1340.14,1275.87
"134","01/08/2021",6.9946,6.719,40950.2,39556.7,0.32728,0.30626,0.010259,0.009707,1233.44,1172.39
"135","01/07/2021",7.3101,6.661,39701.2,36613.4,0.34591,0.28574,0.009836,0.008834,1230.75,1069.25
"136","01/06/2021",7.7059,7.4263,37714.8,36494.1,0.31613,0.2457,0.010497,0.010126,1223.43,1181.5
"137","01/05/2021",7.2927,6.9802,35739.4,33408.3,0.23449,0.22162,0.010318,0.009652,1132.76,1060.67
"138","01/04/2021",7.402,6.7212,32846.9,30460.5,0.2393,0.22525,0.010319,0.009111,1131.56,990.8
"139","01/03/2021",7.207,6.5334,33587.5,32453.1,0.23747,0.2229,0.011493,0.009702,1033,956.6
"140","01/02/2021",5.925,5.7625,32884.7,32029.6,0.22488,0.21746,0.011343,0.009393,781.35,769.57
"141","01/01/2021",5.7176,5.5726,29496.7,29008,0.23806,0.23083,0.00775,0.005553,733.28,715.15
"142","12/31/2020",5.856,5.6124,29482.3,28724.3,0.24956,0.21643,0.004994,0.004606,748.96,730.02
"143","12/30/2020",5.732,5.555,29298.8,28334.2,0.21862,0.20543,0.004747,0.004522,755.13,730.13
"144","12/29/2020",5.7921,5.649,28192.6,27377,0.22278,0.19217,0.004599,0.00446,747.11,726.12
"145","12/28/2020",6.023,5.5851,27089.4,26205.1,0.24924,0.22037,0.004622,0.004411,739.77,690.24
"146","12/27/2020",5.9642,5.763,27331.6,26144.3,0.28696,0.27897,0.004706,0.004513,718.1,682.47
"147","12/26/2020",5.9602,5.8005,26937.5,26438.4,0.30253,0.2901,0.00471,0.004492,652.1,635.4
"148","12/25/2020",5.8505,5.7164,25011,24515.1,0.32293,0.30247,0.004659,0.004455,636.76,621.49
"149","12/24/2020",5.7012,5.5288,23814.1,23445.3,0.35761,0.325,0.004593,0.004443,615.54,605.01
"150","12/23/2020",5.2751,5.0156,23253.2,22737.3,0.30362,0.2525,0.003853,0.003673,586.67,566.15
"151","12/22/2020",6.1622,5.9686,24028.9,23500.7,0.44785,0.3897,0.004766,0.004499,638.11,618.36
"152","12/21/2020",6.1962,6.0568,23060.8,22481,0.5215,0.47731,0.004866,0.00462,615.04,602.33
"153","12/20/2020",6.9841,6.4099,24101.9,23321.1,0.56909,0.54827,0.005463,0.004615,647.87,634.71
"154","12/19/2020",6.4409,6.2541,23843.6,23098.9,0.57665,0.56518,0.003937,0.003815,657.96,641.43
"155","12/18/2020",6.5058,6.363,23229.1,22923.1,0.58539,0.56653,0.003973,0.003799,659.56,645.91
"156","12/17/2020",6.6292,6.3417,23241.3,22493.9,0.61238,0.5516,0.003822,0.003606,653.77,630.44
"157","12/16/2020",6.741,6.4636,22148.4,21243.1,0.58249,0.5477,0.003463,0.003397,651.74,635.64
"158","12/15/2020",6.0565,5.9473,19491.7,19299.7,0.46808,0.43985,0.003227,0.003174,589.15,580.9
"159","12/14/2020",6.1188,6.032,19556.3,19250.3,0.50706,0.49461,0.003262,0.003207,596.97,585.65
"160","12/13/2020",6.139,5.9596,19326.2,19007,0.5181,0.50397,0.003285,0.003233,591.41,582.3
"161","12/12/2020",5.9939,5.9139,18883.6,18716.8,0.50988,0.48652,0.003177,0.003149,569.55,563.37
"162","12/11/2020",6.0167,5.7892,18390.1,18025.1,0.54739,0.51058,0.003173,0.003072,555.89,543.99
"163","12/10/2020",5.9218,5.7437,18288.3,17733.8,0.5736,0.54624,0.003114,0.003048,560.28,541.11
"164","12/09/2020",6.1131,6.0286,18551.8,18339.6,0.58669,0.56613,0.003171,0.003122,575.56,565.12
"165","12/08/2020",5.8107,5.6569,18371.5,18053,0.56415,0.54694,0.003178,0.003083,556.38,543.13
"166","12/07/2020",6.1587,6.0951,19236,19141.1,0.61018,0.60388,0.003362,0.003307,591.33,586.6
"167","12/06/2020",6.1793,6.1006,19424.6,19166.9,0.62317,0.60825,0.003397,0.003356,603.06,591.66
"168","12/05/2020",6.2563,6.1356,19340.1,19141,0.62717,0.58533,0.00343,0.003372,606.9,595.09
"169","12/04/2020",6.086,5.9035,18921.3,18507.1,0.5796,0.54901,0.00334,0.003255,579.85,561.24
"170","12/03/2020",6.5802,6.2906,19529.5,19140.2,0.63388,0.60906,0.003449,0.003366,619.61,601.18
"171","12/02/2020",6.3124,6.1782,19295,18954.6,0.63701,0.61664,0.003426,0.003358,599.92,589.22
"172","12/01/2020",6.2805,6.0521,18954.5,18346.7,0.62145,0.59552,0.003457,0.003274,597.12,575.24
"173","11/30/2020",6.9822,6.6898,19717.6,19366.8,0.66866,0.64487,0.003577,0.003431,616.78,602.58
"174","11/29/2020",6.6885,6.3995,18616.7,18186,0.64533,0.60533,0.003567,0.003436,592.92,575.35
"175","11/28/2020",6.3472,6.2084,17864,17530.4,0.63024,0.58557,0.003413,0.003345,543.58,530.71
"176","11/27/2020",6.3192,6.0791,17191.5,16915.9,0.57617,0.54032,0.003311,0.003236,520.26,509.83
"177","11/26/2020",6.3323,6.0273,17450.3,17037.8,0.58549,0.52189,0.003359,0.003194,530.41,515.15
"178","11/25/2020",7.171,6.0368,18894.9,17279.7,0.65095,0.52829,0.003793,0.003213,577.08,512.11
"179","11/24/2020",7.7072,7.215,19216.6,18769.4,0.70711,0.62057,0.004287,0.003842,605.63,581.44
